index,x_m,y_m,s_m,heading_rad,curvature_1pm
126,-3.665169944,-11.280233197,49.135129844,0.015321498,0.188976272
127,-3.227502050,-11.255637266,49.573488311,0.096334004,0.180472691
128,-2.791536849,-11.196242768,50.013480769,0.173824296,0.171641541
129,-2.360193987,-11.103839696,50.454609992,0.247580487,0.162672194
130,-1.936177181,-10.980606446,50.896171637,0.317440767,0.153692877
131,-1.521926649,-10.829070800,51.337268627,0.383276240,0.144769372
132,-1.119577097,-10.652064538,51.776832478,0.444973473,0.135906600
133,-0.730922066,-10.452672528,52.213650411,0.502417523,0.127050800
134,-0.357385346,-10.234177281,52.646397282,0.555475826,0.118090566
135,-0.000000000,-10.000000000,53.073671532,0.603982978,0.108855565
136,0.340604588,-9.753639259,53.494034590,0.647726321,0.099112314
137,0.664207409,-9.498608477,53.906053382,0.686432282,0.088557053
138,0.970992168,-9.238373370,54.308345813,0.719753689,0.076806673
139,1.261535370,-8.976290574,54.699629269,0.747258854,0.063390289
140,1.536786372,-8.715548614,55.078772361,0.768424268,0.047747028
141,1.798039829,-8.459112319,55.444850143,0.782634383,0.029240653
142,2.046901063,-8.209671757,55.797202960,0.789194516,0.007209632
143,2.285245066,-7.969596652,56.135498570,0.787366274,-0.018918682
144,2.515169944,-7.740897129,56.459796151,0.776438522,-0.049413636
145,2.738945728,-7.525191541,56.770608800,0.755848629,-0.083900356
146,2.958959585,-7.323681969,57.068957932,0.725363625,-0.120920518
147,3.177658501,-7.137137847,57.356408667,0.685311715,-0.157550022
148,3.397490591,-6.965888011,57.635070926,0.636816237,-0.189400449
149,3.620846206,-6.809821287,57.907549463,0.581936354,-0.211380678
150,3.850000000,-6.668395609,58.176831255,0.523598776,-0.219261258
151,4.087055127,-6.540655442,58.446113047,0.465261198,-0.211380678
152,4.333890682,-6.425257167,58.718591584,0.410381314,-0.189400449
